Hour,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,8,7,7,7,12,14,22
1,1,2,2,1,4,4,9
2,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,30,28,26,25,9,1,0
6,71,67,64,61,30,3,1
7,94,87,84,80,54,7,3
8,93,86,83,79,55,16,7
9,76,71,69,67,45,25,11
10,63,63,61,61,30,37,17
11,58,62,60,62,27,49,24
12,53,57,56,60,28,53,28
13,52,54,55,60,21,60,35
14,55,56,57,62,24,58,31
15,59,59,58,60,26,53,28
16,60,59,59,61,34,62,38
17,70,68,69,72,52,82,54
18,76,73,75,77,66,87,60
19,68,67,67,69,66,82,58
20,58,59,59,63,62,79,58
21,44,46,47,54,52,70,51
22,29,31,33,41,43,57,38
23,15,16,17,25,29,39,20
